날짜,발전기명,일일발전량(kWh)
2021-07-15,광양항어울림태양광,3354.72
2021-07-16,광양항어울림태양광,3073.44
2021-07-17,광양항어울림태양광,2636.16
2021-07-18,광양항어울림태양광,2878.56
2021-07-19,광양항어울림태양광,3071.04
2021-07-20,광양항어울림태양광,2022.72
2021-07-21,광양항어울림태양광,2870.4
2021-07-22,광양항어울림태양광,3240
2021-07-23,광양항어울림태양광,3635.04
2021-07-24,광양항어울림태양광,3454.08
2021-07-25,광양항어울림태양광,3701.28
2021-07-26,광양항어울림태양광,3402.72
2021-07-27,광양항어울림태양광,4104.48
2021-07-28,광양항어울림태양광,3925.44
2021-07-29,광양항어울림태양광,3607.2
2021-07-30,광양항어울림태양광,3792.48
2021-07-31,광양항어울림태양광,3263.04
2021-08-01,광양항어울림태양광,3385.44
2021-08-02,광양항어울림태양광,3061.44
2021-08-03,광양항어울림태양광,2431.2
2021-08-04,광양항어울림태양광,3745.44
2021-08-05,광양항어울림태양광,3615.84
2021-08-06,광양항어울림태양광,3779.04
2021-08-07,광양항어울림태양광,3668.64
2021-08-08,광양항어울림태양광,1480.32
2021-08-09,광양항어울림태양광,2776.32
2021-08-10,광양항어울림태양광,3161.28
2021-08-11,광양항어울림태양광,2875.2
2021-08-12,광양항어울림태양광,2641.92
2021-08-13,광양항어울림태양광,1225.44
2021-08-14,광양항어울림태양광,1611.36
2021-08-15,광양항어울림태양광,3480.48
2021-08-16,광양항어울림태양광,2508.48
2021-08-17,광양항어울림태양광,2478.24
2021-08-18,광양항어울림태양광,3560.64
2021-08-19,광양항어울림태양광,3365.76
2021-08-20,광양항어울림태양광,3507.36
2021-08-21,광양항어울림태양광,215.52
2021-08-22,광양항어울림태양광,2988.96
2021-08-23,광양항어울림태양광,920.16
2021-08-24,광양항어울림태양광,1060.8
2021-08-25,광양항어울림태양광,669.6
2021-08-26,광양항어울림태양광,3466.56
2021-08-27,광양항어울림태양광,2360.64
2021-08-28,광양항어울림태양광,2653.92
2021-08-29,광양항어울림태양광,2093.76
2021-08-30,광양항어울림태양광,2814.24
2021-08-31,광양항어울림태양광,2964.48
2021-09-01,광양항어울림태양광,1091.52
2021-09-02,광양항어울림태양광,990.24
2021-09-03,광양항어울림태양광,1983.84
2021-09-04,광양항어울림태양광,2466.72
2021-09-05,광양항어울림태양광,1069.44
2021-09-06,광양항어울림태양광,503.04
2021-09-07,광양항어울림태양광,927.36
2021-09-08,광양항어울림태양광,3066.24
2021-09-09,광양항어울림태양광,2724
2021-09-10,광양항어울림태양광,827.04
2021-09-11,광양항어울림태양광,3363.36
2021-09-12,광양항어울림태양광,2794.56
2021-09-13,광양항어울림태양광,1532.16
2021-09-14,광양항어울림태양광,966.24
2021-09-15,광양항어울림태양광,2469.6
2021-09-16,광양항어울림태양광,877.92
2021-09-17,광양항어울림태양광,1227.84
2021-09-18,광양항어울림태양광,2285.76
2021-09-19,광양항어울림태양광,3550.56
2021-09-20,광양항어울림태양광,1915.2
2021-09-21,광양항어울림태양광,1345.92
2021-09-22,광양항어울림태양광,2857.92
2021-09-23,광양항어울림태양광,3177.6
2021-09-24,광양항어울림태양광,3188.64
2021-09-25,광양항어울림태양광,1520.16
2021-09-26,광양항어울림태양광,2055.36
2021-09-27,광양항어울림태양광,3020.16
2021-09-28,광양항어울림태양광,1244.64
2021-09-29,광양항어울림태양광,872.64
2021-09-30,광양항어울림태양광,2268.96
2021-10-01,광양항어울림태양광,3152.16
2021-10-02,광양항어울림태양광,3124.8
2021-10-03,광양항어울림태양광,3047.52
2021-10-04,광양항어울림태양광,2647.68
2021-10-05,광양항어울림태양광,2986.08
2021-10-06,광양항어울림태양광,2924.64
2021-10-07,광양항어울림태양광,2609.28
2021-10-08,광양항어울림태양광,1932
2021-10-09,광양항어울림태양광,2866.08
2021-10-10,광양항어울림태양광,1820.64
2021-10-11,광양항어울림태양광,490.08
2021-10-12,광양항어울림태양광,1441.44
2021-10-13,광양항어울림태양광,2280.96
2021-10-14,광양항어울림태양광,2773.92
2021-10-15,광양항어울림태양광,2166.72
2021-10-16,광양항어울림태양광,755.52
2021-10-17,광양항어울림태양광,3278.4
2021-10-18,광양항어울림태양광,3187.2
2021-10-19,광양항어울림태양광,2744.16
2021-10-20,광양항어울림태양광,2186.88
2021-10-21,광양항어울림태양광,2348.16
2021-10-22,광양항어울림태양광,3096.96
2021-10-23,광양항어울림태양광,2997.12
2021-10-24,광양항어울림태양광,2198.4
2021-10-25,광양항어울림태양광,2851.68
2021-10-26,광양항어울림태양광,2661.6
2021-10-27,광양항어울림태양광,2533.44
2021-10-28,광양항어울림태양광,2794.08
2021-10-29,광양항어울림태양광,2588.64
2021-10-30,광양항어울림태양광,1251.36
